Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Timber (feat. Ke$ha),"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),Pitbull,2012,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,204160
Destination,Crash Adams,Destination,Crash Adams,2022-12-02,https://i.scdn.co/image/ab67616d0000b27382ad9f7c89f25aad0a8b8ca9,163543
Numb Little Bug,Em Beihold,Numb Little Bug,Em Beihold,2022-01-28,https://i.scdn.co/image/ab67616d0000b273dc0353a5801934f9a4bac01d,169237
Heaven,Niall Horan,Heaven,Niall Horan,2023-02-17,https://i.scdn.co/image/ab67616d0000b273723c6c01155c023a9a9f8cf0,186043
I ll Be Waiting,Cian Ducrot,I ll Be Waiting,Cian Ducrot,2023-02-10,https://i.scdn.co/image/ab67616d0000b273ed62e83c6ff06c2777181a29,172547
There s Nothing Holdin  Me Back,Shawn Mendes,Illuminate (Deluxe),Shawn Mendes,2017-04-20,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,199440
this is what heartbreak feels like,JVKE,this is what ____ feels like (Vol. 1-4),JVKE,2022-09-23,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,157636
Enchanted,Taylor Swift,Speak Now,Taylor Swift,2010-10-25,https://i.scdn.co/image/ab67616d0000b273d0eae3c1661a96570f0ca7bd,352200
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,Gym Class Heroes,2011-11-11,https://i.scdn.co/image/ab67616d0000b27318b8088fe0c3dbf78398b55a,210960
Attention,Charlie Puth,Voicenotes,Charlie Puth,2018-05-11,https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66,208786
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022-09-22,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,156943
Hips Don t Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa,218093
I WANNA BE YOUR SLAVE,Måneskin,Teatro d ira - Vol. I,Måneskin,2021-03-19,https://i.scdn.co/image/ab67616d0000b2735aa05015cfa7bd2943c29b21,173346
Maybe My Soulmate Died,iamnotshane,Maybe My Soulmate Died,iamnotshane,2022-06-15,https://i.scdn.co/image/ab67616d0000b2737c0732b3caaa12b64fd00753,114375
No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,Sean Paul,2018-06-29,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c,221176
Lavender Haze,Taylor Swift,Midnights,Taylor Swift,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,202395
Bones,Imagine Dragons,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,165264
Baby,"Justin Bieber, Ludacris",My World 2.0,Justin Bieber,2010-01-01,https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a,214240
Call Me Maybe,Carly Rae Jepsen,Kiss,Carly Rae Jepsen,2012-01-01,https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72,193400
