Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Cool for the Summer,Demi Lovato,Confident,Demi Lovato,2015-01-01,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784,214739
Players,Coi Leray,Players,Coi Leray,2022-11-30,https://i.scdn.co/image/ab67616d0000b2731cf7cf4446b496525e423465,139560
Paint The Town Red,Doja Cat,Paint The Town Red,Doja Cat,2023-08-04,https://i.scdn.co/image/ab67616d0000b2737acee948ecac8380c1b6ce30,231750
Strangers,Kenya Grace,Strangers,Kenya Grace,2023-09-01,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3,172964
Heart Attack,Demi Lovato,Demi,Demi Lovato,2013-01-01,https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b,210840
Typa Girl,BLACKPINK,BORN PINK,BLACKPINK,2022-09-16,https://i.scdn.co/image/ab67616d0000b273580ac3ad7dfc81e509171120,179172
Summertime Friends,The Chainsmokers,Summertime Friends,The Chainsmokers,2023-09-08,https://i.scdn.co/image/ab67616d0000b27302afda5a83c34b02c4404a3b,136586
Runaway,Elevator Boys,Runaway,Elevator Boys,2023-07-21,https://i.scdn.co/image/ab67616d0000b273994497d82526931e2777bbbf,166700
Single Soon,Selena Gomez,Single Soon,Selena Gomez,2023-08-25,https://i.scdn.co/image/ab67616d0000b273fabd32dd9cefca8714c0ed41,171655
Stay,"Zedd, Alessia Cara",Stay,"Zedd, Alessia Cara",2017-02-23,https://i.scdn.co/image/ab67616d0000b273b993cba8ff7d0a8e9ee18d46,210090
Love Like This - Mura Masa Remix,"ZAYN, Mura Masa",Love Like This (Mura Masa Remix),"ZAYN, Mura Masa",2023-09-08,https://i.scdn.co/image/ab67616d0000b27344f07dfbcc7383ac0b4fd98f,163322
We Don t Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,Charlie Puth,2016-01-29,https://i.scdn.co/image/ab67616d0000b273633a2d775747bccfbcb17a45,217706
Daylight,David Kushner,Daylight,David Kushner,2023-04-14,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,212953
Let Me Love You,"DJ Snake, Justin Bieber",Encore,DJ Snake,2016-08-05,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,205946
Hopeless,Connor Price,Hopeless,Connor Price,2023-09-01,https://i.scdn.co/image/ab67616d0000b2738f3c7299f88e78b5cbe028df,176529
Roses,"The Chainsmokers, ROZES",Roses,The Chainsmokers,2015-06-16,https://i.scdn.co/image/ab67616d0000b2738d2cfad007b9431f48aef135,226738
The Middle,"Zedd, Maren Morris, Grey",The Middle,"Zedd, Maren Morris, Grey",2018-01-23,https://i.scdn.co/image/ab67616d0000b273fbe22d168a743b782a5e856a,184732
Paris,The Chainsmokers,Memories...Do Not Open,The Chainsmokers,2017-04-07,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,221506
Fast Car,"Jonas Blue, Dakota",Fast Car,"Jonas Blue, Dakota",2015-12-04,https://i.scdn.co/image/ab67616d0000b273c1faca501ed4c2752524da96,212424
I Like Me Better,Lauv,I met you when I was 18. (the playlist),Lauv,2018-05-31,https://i.scdn.co/image/ab67616d0000b273bdea30b86b37142ec99deb78,197436
When Emma Falls in Love (Taylor s Version) (From The Vault),Taylor Swift,Speak Now (Taylor s Version),Taylor Swift,2023-07-07,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,252385
Enchanted (Taylor s Version),Taylor Swift,Speak Now (Taylor s Version),Taylor Swift,2023-07-07,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,353253
Mine (Taylor s Version),Taylor Swift,Speak Now (Taylor s Version),Taylor Swift,2023-07-07,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,231706
Look What You Made Me Do,Taylor Swift,reputation,Taylor Swift,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,211853
Sorry,Justin Bieber,Purpose (Deluxe),Justin Bieber,2015-11-13,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,200786
Hall of Fame (feat. will.i.am),"The Script, will.i.am",#3 Deluxe Version,The Script,2012-09-10,https://i.scdn.co/image/ab67616d0000b2732e3049fef96abebf336b7366,202533
It Ain t Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain t Me (with Selena Gomez),"Kygo, Selena Gomez",2017-02-16,https://i.scdn.co/image/ab67616d0000b27341f289940f2e6a0d51988d77,220780
Black Magic,Little Mix,Get Weird (Expanded Edition),Little Mix,2015-11-06,https://i.scdn.co/image/ab67616d0000b273995994477ea1ae8097978bf8,211786
Kill Bill,SZA,SOS,SZA,2022-12-08,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,153946
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,Calvin Harris,2014-10-31,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,227266
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),Daddy Yankee,2004-07-13,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c,192600
Maps,Maroon 5,V (Asia Tour Edition),Maroon 5,2015-05-18,https://i.scdn.co/image/ab67616d0000b27337677af5b4f23fe9dc8a3c04,189960
Whistle,Flo Rida,Wild Ones,Flo Rida,2012-06-22,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09,224653
Eenie Meenie,"Sean Kingston, Justin Bieber",Eenie Meenie,"Sean Kingston, Justin Bieber",2010-03-23,https://i.scdn.co/image/ab67616d0000b2734dea4c1cdf30c359dbaec318,201946
Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,Maroon 5,2012-01-01,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,231173
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,Justin Timberlake,2006-09-12,https://i.scdn.co/image/ab67616d0000b273c6ba98fd3f3b396a6c6f7091,242733
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood s Bleeding,Post Malone,2019-09-06,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,157560
Heather,Conan Gray,Kid Krow,Conan Gray,2020-03-20,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,198040
